,genes,pathway,count
160,RPL23A,ribosome assembly (GO:0042255),16
161,RPL23A,cellular macromolecule biosynthetic process (GO:0034645),16
162,RPL3,ribosomal large subunit assembly (GO:0000027),16
163,RPS27,ncRNA processing (GO:0034470),16
164,RPS27,ribosomal small subunit biogenesis (GO:0042274),16
165,RPL23A,ribosomal large subunit assembly (GO:0000027),16
166,RPS27,viral transcription (GO:0019083),16
167,RPS27,ribosome assembly (GO:0042255),16
168,RPS27,cotranslational protein targeting to membrane (GO:0006613),16
169,RPS27,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),16
170,RPL3,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),16
171,RPS27,rRNA processing (GO:0006364),16
172,RPS27,protein targeting to ER (GO:0045047),16
173,RPS27,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",16
174,RPS27,rRNA metabolic process (GO:0016072),16
175,RPS27,peptide biosynthetic process (GO:0043043),16
176,RPS27,ribosomal small subunit assembly (GO:0000028),16
177,RPS27,translation (GO:0006412),16
178,RPL3,rRNA processing (GO:0006364),16
179,RPS27,ribosome biogenesis (GO:0042254),16
180,PRNP,positive regulation of protein tyrosine kinase activity (GO:0061098),16
181,PRNP,negative regulation of cell projection organization (GO:0031345),16
182,RPL23A,ribosome biogenesis (GO:0042254),16
183,RPL23A,cotranslational protein targeting to membrane (GO:0006613),16
184,RPL23A,peptide biosynthetic process (GO:0043043),16
185,RPL23A,protein targeting to ER (GO:0045047),16
186,RPL23A,viral transcription (GO:0019083),16
187,RPL3,ribosomal large subunit biogenesis (GO:0042273),16
188,RPL3,rRNA metabolic process (GO:0016072),16
189,RPL3,viral gene expression (GO:0019080),16
190,RPL3,translation (GO:0006412),16
191,RPL3,ribosome biogenesis (GO:0042254),16
192,RPL3,cotranslational protein targeting to membrane (GO:0006613),16
193,RPL3,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",16
194,PRNP,response to amyloid-beta (GO:1904645),16
195,PRNP,calcium-mediated signaling (GO:0019722),16
196,PRNP,regulation of protein tyrosine kinase activity (GO:0061097),16
197,PRNP,regulation of calcium ion transmembrane transport (GO:1903169),16
198,PRNP,regulation of calcium ion transport into cytosol (GO:0010522),16
199,RPL3,peptide biosynthetic process (GO:0043043),16
200,RPL3,ncRNA processing (GO:0034470),16
201,RPL3,cellular macromolecule biosynthetic process (GO:0034645),16
202,RPL3,ribosome assembly (GO:0042255),16
203,RPS27,viral gene expression (GO:0019080),16
204,PRNP,dendritic spine maintenance (GO:0097062),16
205,PRNP,cellular response to amyloid-beta (GO:1904646),16
206,PRNP,negative regulation of amyloid-beta formation (GO:1902430),16
207,PRNP,cellular response to peptide (GO:1901653),16
208,PRNP,long-term memory (GO:0007616),16
209,PRNP,regulation of interleukin-2 production (GO:0032663),16
210,CAMK2B,peptidyl-serine modification (GO:0018209),15
211,CAMK2B,regulation of dendritic spine development (GO:0060998),15
212,CAMK2B,positive regulation of neuron projection development (GO:0010976),15
213,CAMK2B,regulation of dendrite development (GO:0050773),15
214,CAMK2B,peptidyl-serine phosphorylation (GO:0018105),15
215,CAMK2B,positive regulation of cell projection organization (GO:0031346),15
216,CAMK2B,positive regulation of neuron differentiation (GO:0045666),15
217,CAMK2B,positive regulation of nervous system development (GO:0051962),15
218,CAMK2B,regulation of synapse maturation (GO:0090128),15
219,CAMK2B,positive regulation of synapse maturation (GO:0090129),15
220,CAMK2B,peptidyl-threonine phosphorylation (GO:0018107),15
221,CAMK2B,regulation of synapse organization (GO:0050807),15
222,CAMK2B,regulation of long-term neuronal synaptic plasticity (GO:0048169),15
223,CAMK2B,peptidyl-threonine modification (GO:0018210),15
224,CAMK2B,regulation of neuronal synaptic plasticity (GO:0048168),15
225,RPL41,peptide biosynthetic process (GO:0043043),14
226,RPL41,rRNA processing (GO:0006364),14
227,AKT2,mammary gland epithelial cell differentiation (GO:0060644),14
228,AKT2,regulation of fatty acid beta-oxidation (GO:0031998),14
229,AKT2,cellular response to peptide hormone stimulus (GO:0071375),14
230,AKT2,peptidyl-serine modification (GO:0018209),14
231,AKT2,positive regulation of glucose metabolic process (GO:0010907),14
232,AKT2,positive regulation of cellular carbohydrate metabolic process (GO:0010676),14
233,AKT2,peptidyl-serine phosphorylation (GO:0018105),14
234,AKT2,positive regulation of glucose import (GO:0046326),14
235,AKT2,positive regulation of glycogen biosynthetic process (GO:0045725),14
236,RPL41,ncRNA processing (GO:0034470),14
237,RPL41,protein targeting to ER (GO:0045047),14
238,RPL41,viral transcription (GO:0019083),14
239,RPL41,cellular macromolecule biosynthetic process (GO:0034645),14
240,AKT2,positive regulation of glucose transport (GO:0010828),14
241,RPL41,cytoplasmic translation (GO:0002181),14
242,RPL41,cotranslational protein targeting to membrane (GO:0006613),14
243,RPL41,ribosome biogenesis (GO:0042254),14
244,RPL41,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),14
245,RPL41,rRNA metabolic process (GO:0016072),14
246,RPL41,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",14
247,AKT2,positive regulation of transport (GO:0051050),14
248,RPL41,translation (GO:0006412),14
249,RPL41,viral gene expression (GO:0019080),14
250,AKT2,positive regulation of glycogen metabolic process (GO:0070875),14
251,AKT2,regulation of glycogen biosynthetic process (GO:0005979),14
252,AKT2,regulation of glucose import (GO:0046324),14
253,RPS25,ncRNA processing (GO:0034470),13
254,RPL13,protein targeting to ER (GO:0045047),13
255,RPL13,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",13
256,RPL13,cellular macromolecule biosynthetic process (GO:0034645),13
257,RPL13,ncRNA processing (GO:0034470),13
258,RPS25,protein targeting to ER (GO:0045047),13
259,RPL13,rRNA metabolic process (GO:0016072),13
260,RPL13,peptide biosynthetic process (GO:0043043),13
261,RPL13,cotranslational protein targeting to membrane (GO:0006613),13
262,RPL13,ribosome biogenesis (GO:0042254),13
263,RPS25,cotranslational protein targeting to membrane (GO:0006613),13
264,RPL13,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),13
265,RPL13,rRNA processing (GO:0006364),13
266,RPL13,translation (GO:0006412),13
267,RPL13,viral gene expression (GO:0019080),13
268,RPS25,ribosome biogenesis (GO:0042254),13
269,RPS25,translation (GO:0006412),13
270,RPS25,viral gene expression (GO:0019080),13
271,RPS25,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",13
272,RPS25,rRNA metabolic process (GO:0016072),13
273,RPL13,viral transcription (GO:0019083),13
274,RPS25,peptide biosynthetic process (GO:0043043),13
275,CACNG4,positive regulation of synaptic transmission (GO:0050806),13
276,RPS25,cellular macromolecule biosynthetic process (GO:0034645),13
277,CACNG4,neurotransmitter receptor transport (GO:0099637),13
278,CACNG4,"positive regulation of synaptic transmission, glutamatergic (GO:0051968)",13
279,CACNG4,regulation of neurotransmitter receptor activity (GO:0099601),13
280,CACNG4,receptor localization to synapse (GO:0097120),13
281,CACNG4,regulation of glutamate receptor signaling pathway (GO:1900449),13
282,CACNG4,"neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)",13
283,CACNG4,neurotransmitter receptor internalization (GO:0099590),13
284,RPS25,viral transcription (GO:0019083),13
285,RPS25,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),13
286,CACNG4,establishment of protein localization to vacuole (GO:0072666),13
287,CACNG4,neurotransmitter receptor diffusion trapping (GO:0099628),13
288,CACNG4,regulation of AMPA receptor activity (GO:2000311),13
289,CACNG4,regulation of cation channel activity (GO:2001257),13
290,RPS25,rRNA processing (GO:0006364),13
291,CACNG4,postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970),13
292,APOD,regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640),11
293,APOD,negative regulation of intracellular protein transport (GO:0090317),11
294,APOD,negative regulation of focal adhesion assembly (GO:0051895),11
295,APOD,negative regulation of adherens junction organization (GO:1903392),11
296,APOD,negative regulation of cell junction assembly (GO:1901889),11
297,APOD,axon regeneration (GO:0031103),11
298,APOD,negative regulation of inflammatory response (GO:0050728),11
299,APOD,negative regulation of protein import into nucleus (GO:0042308),11
300,APOD,response to axon injury (GO:0048678),11
301,APOD,negative regulation of cell-matrix adhesion (GO:0001953),11
302,APOD,regulation of protein import into nucleus (GO:0042306),11
303,LRP4,protein heterotetramerization (GO:0051290),10
304,PKD1,chordate embryonic development (GO:0043009),10
305,PKD1,peptidyl-serine modification (GO:0018209),10
306,PKD1,protein export from nucleus (GO:0006611),10
307,PKD1,cytoplasmic sequestering of protein (GO:0051220),10
308,PKD1,lung development (GO:0030324),10
309,LRP4,dendrite morphogenesis (GO:0048813),10
310,PKD1,skeletal system development (GO:0001501),10
311,LRP4,receptor clustering (GO:0043113),10
312,LRP4,cell morphogenesis involved in neuron differentiation (GO:0048667),10
313,PKD1,cytoplasmic sequestering of transcription factor (GO:0042994),10
314,PKD1,in utero embryonic development (GO:0001701),10
315,LRP4,regulation of axonogenesis (GO:0050770),10
316,PKD1,detection of mechanical stimulus (GO:0050982),10
317,LRP4,neuromuscular junction development (GO:0007528),10
318,LRP4,presynaptic membrane assembly (GO:0097105),10
319,LRP4,presynaptic membrane organization (GO:0097090),10
320,PKD1,peptidyl-serine phosphorylation (GO:0018105),10
321,LRP4,regulation of ossification (GO:0030278),10
322,LRP4,presynapse assembly (GO:0099054),10
323,SYN1,regulation of synaptic vesicle transport (GO:1902803),8
324,SYN1,regulation of neurotransmitter transport (GO:0051588),8
325,CSNK1E,regulation of cellular localization (GO:0060341),8
326,STK11,negative regulation of cell growth (GO:0030308),8
327,SYN1,regulation of neurotransmitter secretion (GO:0046928),8
328,BAIAP2,cell morphogenesis involved in neuron differentiation (GO:0048667),8
329,MRPL34,cellular macromolecule biosynthetic process (GO:0034645),8
330,MRPL34,mitochondrial translational termination (GO:0070126),8
331,MRPL34,translational elongation (GO:0006414),8
332,MRPL34,mitochondrial translation (GO:0032543),8
333,MRPL34,translation (GO:0006412),8
334,MRPL34,mitochondrial translational elongation (GO:0070125),8
335,MRPL34,translational termination (GO:0006415),8
336,STK11,peptidyl-threonine modification (GO:0018210),8
337,STK11,positive regulation of autophagy (GO:0010508),8
338,NDUFA12,ATP synthesis coupled electron transport (GO:0042773),8
339,NDUFA12,NADH dehydrogenase complex assembly (GO:0010257),8
340,STK11,positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846),8
341,NDUFA12,respiratory electron transport chain (GO:0022904),8
342,NDUFA12,"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",8
343,NDUFA12,mitochondrial respiratory chain complex assembly (GO:0033108),8
344,NDUFA12,mitochondrial ATP synthesis coupled electron transport (GO:0042775),8
345,NDUFA12,mitochondrial respiratory chain complex I biogenesis (GO:0097031),8
346,STK11,peptidyl-serine modification (GO:0018209),8
347,SYN1,regulation of calcium ion-dependent exocytosis (GO:0017158),8
348,SYN1,regulation of synaptic vesicle cycle (GO:0098693),8
349,STK11,positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511),8
350,CSNK1E,rRNA metabolic process (GO:0016072),8
351,MRPL34,peptide biosynthetic process (GO:0043043),8
352,MAPK8IP2,regulation of NMDA receptor activity (GO:2000310),8
353,BAIAP2,regulation of actin filament polymerization (GO:0030833),8
354,BAIAP2,vascular endothelial growth factor receptor signaling pathway (GO:0048010),8
355,STK11,peptidyl-threonine phosphorylation (GO:0018107),8
356,STK11,peptidyl-serine phosphorylation (GO:0018105),8
357,SYN1,regulation of cellular localization (GO:0060341),8
358,SYN1,modulation of chemical synaptic transmission (GO:0050804),8
359,CSNK1E,regulation of non-canonical Wnt signaling pathway (GO:2000050),8
360,CSNK1E,rRNA processing (GO:0006364),8
361,MAPK8IP2,regulation of neurotransmitter receptor activity (GO:0099601),8
362,CSNK1E,peptidyl-serine modification (GO:0018209),8
363,CSNK1E,ncRNA processing (GO:0034470),8
364,CSNK1E,ribosome biogenesis (GO:0042254),8
365,CSNK1E,peptidyl-serine phosphorylation (GO:0018105),8
366,BAIAP2,regulation of actin cytoskeleton organization (GO:0032956),8
367,MAPK8IP2,modulation of chemical synaptic transmission (GO:0050804),8
368,MAPK8IP2,regulation of cation channel activity (GO:2001257),8
369,MAPK8IP2,regulation of glutamate receptor signaling pathway (GO:1900449),8
370,BAIAP2,regulation of actin filament-based process (GO:0032970),8
371,MAPK8IP2,cell morphogenesis involved in neuron differentiation (GO:0048667),8
372,MAPK8IP2,dendrite morphogenesis (GO:0048813),8
373,NDUFA12,mitochondrial respiratory chain complex I assembly (GO:0032981),8
374,MAPK8IP2,regulation of AMPA receptor activity (GO:2000311),8
375,SYN1,regulation of secretion by cell (GO:1903530),8
376,BAIAP2,regulation of cytoskeleton organization (GO:0051493),8
377,BAIAP2,positive regulation of cytoskeleton organization (GO:0051495),8
378,BAIAP2,axon development (GO:0061564),8
379,AGRN,acetylcholine receptor signaling pathway (GO:0095500),7
380,AGRN,positive regulation of developmental growth (GO:0048639),7
381,AGRN,receptor clustering (GO:0043113),7
382,AGRN,neuronal ion channel clustering (GO:0045161),7
383,AGRN,regulation of filopodium assembly (GO:0051489),7
384,AGRN,aminoglycan metabolic process (GO:0006022),7
385,WDR12,maturation of LSU-rRNA (GO:0000470),7
386,WDR12,ribosome biogenesis (GO:0042254),7
387,WDR12,maturation of 5.8S rRNA (GO:0000460),7
388,AGRN,positive regulation of synapse assembly (GO:0051965),7
389,RTN4R,negative regulation of axon regeneration (GO:0048681),7
390,PALM,regulation of adenylate cyclase activity (GO:0045761),7
391,RIMS4,regulation of synaptic vesicle cycle (GO:0098693),7
392,RTN4R,regulation of axonogenesis (GO:0050770),7
393,RTN4R,negative regulation of cell projection organization (GO:0031345),7
394,RTN4R,negative regulation of neuron projection regeneration (GO:0070571),7
395,RTN4R,negative regulation of cell growth (GO:0030308),7
396,PALM,negative regulation of lyase activity (GO:0051350),7
397,WDR12,ncRNA processing (GO:0034470),7
398,RTN4R,regulation of axon regeneration (GO:0048679),7
399,WDR12,rRNA processing (GO:0006364),7
400,WDR12,rRNA metabolic process (GO:0016072),7
401,RIMS4,positive regulation of signaling (GO:0023056),7
402,RIMS4,regulation of calcium ion-dependent exocytosis (GO:0017158),7
403,RIMS4,regulation of synaptic vesicle transport (GO:1902803),7
404,RIMS4,regulation of neurotransmitter secretion (GO:0046928),7
405,WDR12,ribosomal large subunit biogenesis (GO:0042273),7
406,RIMS4,positive regulation of synaptic transmission (GO:0050806),7
407,PALM,negative regulation of cAMP biosynthetic process (GO:0030818),7
408,PALM,negative regulation of cyclase activity (GO:0031280),7
409,RIMS4,modulation of chemical synaptic transmission (GO:0050804),7
410,PALM,regulation of filopodium assembly (GO:0051489),7
411,RTN4R,negative regulation of response to wounding (GO:1903035),7
412,PALM,negative regulation of adenylate cyclase activity (GO:0007194),7
413,PALM,negative regulation of G-protein coupled receptor protein signaling pathway (GO:0045744),7
414,SDCBP,negative regulation of receptor internalization (GO:0002091),6
415,GRM3,negative regulation of lyase activity (GO:0051350),6
416,ADGRL1,positive regulation of synapse maturation (GO:0090129),6
417,GNAI2,regulation of adenylate cyclase activity (GO:0045761),6
418,GNAI2,negative regulation of adenylate cyclase activity (GO:0007194),6
419,ADGRL1,positive regulation of nervous system development (GO:0051962),6
420,GRM3,negative regulation of adenylate cyclase activity (GO:0007194),6
421,GRM3,negative regulation of cyclase activity (GO:0031280),6
422,ADGRL1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),6
423,GRM3,regulation of adenylate cyclase activity (GO:0045761),6
424,GRM3,modulation of chemical synaptic transmission (GO:0050804),6
425,GRM3,negative regulation of cAMP biosynthetic process (GO:0030818),6
426,ADGRL1,calcium-mediated signaling (GO:0019722),6
427,SDCBP,positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511),6
428,SDCBP,negative regulation of receptor-mediated endocytosis (GO:0048261),6
429,GNAI2,negative regulation of lyase activity (GO:0051350),6
430,GNAI2,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway (GO:0007193),6
431,GNAI2,negative regulation of cAMP biosynthetic process (GO:0030818),6
432,ADGRL1,calcium-mediated signaling using intracellular calcium source (GO:0035584),6
433,ADGRL1,regulation of synapse maturation (GO:0090128),6
434,DDX5,positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),6
435,SDCBP,positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846),6
436,IL7,regulation of T cell differentiation (GO:0045580),6
437,PER1,regulation of cytokine production (GO:0001817),6
438,PER1,negative regulation of JNK cascade (GO:0046329),6
439,PER1,histone H3 deacetylation (GO:0070932),6
440,PER1,histone deacetylation (GO:0016575),6
441,PER1,negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144),6
442,PER1,regulation of glucocorticoid receptor signaling pathway (GO:2000322),6
443,PYGL,cellular glucan metabolic process (GO:0006073),6
444,IL7,positive regulation of B cell proliferation (GO:0030890),6
445,IL7,positive regulation of cytokine-mediated signaling pathway (GO:0001961),6
446,IL7,interleukin-7-mediated signaling pathway (GO:0038111),6
447,IL7,cellular response to interleukin-7 (GO:0098761),6
448,PYGL,glucan catabolic process (GO:0009251),6
449,SDCBP,"substrate-dependent cell migration, cell extension (GO:0006930)",6
450,PYGL,glycogen metabolic process (GO:0005977),6
451,PYGL,energy reserve metabolic process (GO:0006112),6
452,PYGL,cellular polysaccharide catabolic process (GO:0044247),6
453,PYGL,glycogen catabolic process (GO:0005980),6
454,DDX5,regulation of skeletal muscle tissue development (GO:0048641),6
455,DDX5,regulation of ossification (GO:0030278),6
456,DDX5,"positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)",6
457,DDX5,mRNA catabolic process (GO:0006402),6
458,DDX5,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),6
459,IL7,regulation of B cell proliferation (GO:0030888),6
460,SDCBP,positive regulation of phosphate metabolic process (GO:0045937),6
461,GNAI2,negative regulation of cyclase activity (GO:0031280),6
462,SRCIN1,negative regulation of protein tyrosine kinase activity (GO:0061099),5
