,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
60,regulation of osteoblast proliferation (GO:0033688),GO:0033688,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell population proliferation,,,,
61,dendrite morphogenesis (GO:0048813),GO:0048813,developmental process,anatomical structure morphogenesis,cellular component morphogenesis,cell projection organization,cell projection morphogenesis,plasma membrane bounded cell projection morphogenesis,neuron projection morphogenesis,
62,regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947),GO:0030947,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,,,,
63,ribosome assembly (GO:0042255),GO:0042255,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle assembly,non-membrane-bounded organelle assembly,,
64,positive regulation of receptor internalization (GO:0002092),GO:0002092,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of endocytosis,positive regulation of receptor-mediated endocytosis,regulation of receptor internalization,
65,positive regulation of reactive oxygen species biosynthetic process (GO:1903428),GO:1903428,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular metabolic process,positive regulation of cellular metabolic process,positive regulation of reactive oxygen species metabolic process,,
66,neural crest cell differentiation (GO:0014033),GO:0014033,developmental process,cellular developmental process,cell differentiation,stem cell differentiation,,,,
67,mitotic cell cycle arrest (GO:0071850),GO:0071850,biological regulation,regulation of biological process,regulation of cellular process,,,,,
68,negative regulation of homeostatic process (GO:0032845),GO:0032845,,,,,,,,
69,calcium ion transport into cytosol (GO:0060402),GO:0060402,cellular process,transmembrane transport,positive regulation of cytosolic calcium ion concentration,inorganic cation transmembrane transport,calcium ion transport,metal ion transport,,
70,positive regulation of excitatory postsynaptic potential (GO:2000463),GO:2000463,biological regulation,regulation of biological process,regulation of signaling,regulation of trans-synaptic signaling,regulation of nervous system process,,,
71,maintenance of protein location in nucleus (GO:0051457),GO:0051457,cellular process,maintenance of location,maintenance of protein location in cell,maintenance of protein localization in organelle,,,,
72,actin filament-based transport (GO:0099515),GO:0099515,cellular process,establishment of localization,transport,cytoskeleton-dependent intracellular transport,,,,
73,glucose catabolic process to pyruvate (GO:0061718),GO:0061718,cellular process,catabolic process,small molecule catabolic process,carbohydrate catabolic process,hexose catabolic process,glucose catabolic process,pyruvate metabolic process,
74,regulation of protein transport (GO:0051223),GO:0051223,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of establishment of protein localization,,
75,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",GO:0000184,cellular process,regulation of biological process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process,
76,establishment of mitotic spindle orientation (GO:0000132),GO:0000132,cellular process,establishment of localization,microtubule cytoskeleton organization,organelle organization,establishment of mitotic spindle localization,,,
77,"regulation of DNA-templated transcription, elongation (GO:0032784)",GO:0032784,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
78,peptidyl-serine phosphorylation (GO:0018105),GO:0018105,cellular process,cellular metabolic process,phosphorus metabolic process,phosphate-containing compound metabolic process,peptidyl-amino acid modification,peptidyl-serine modification,,
79,regulation of neuronal synaptic plasticity (GO:0048168),GO:0048168,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
80,negative regulation of ion transport (GO:0043271),GO:0043271,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,regulation of monoatomic ion transport,,,
81,positive regulation of mitotic sister chromatid separation (GO:1901970),GO:1901970,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of chromosome segregation,positive regulation of chromosome separation,regulation of mitotic sister chromatid separation
82,regulation of interleukin-2 production (GO:0032663),GO:0032663,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
83,vascular endothelial growth factor receptor signaling pathway (GO:0048010),GO:0048010,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,,,
84,regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041),GO:1902041,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of apoptotic signaling pathway,regulation of apoptotic process,,
85,heart looping (GO:0001947),GO:0001947,developmental process,anatomical structure morphogenesis,tissue morphogenesis,morphogenesis of an epithelium,,,,
86,rRNA transport (GO:0051029),GO:0051029,localization,establishment of localization,transport,RNA transport,nucleobase-containing compound transport,nucleic acid transport,,
87,regulation of cellular localization (GO:0060341),GO:0060341,biological regulation,regulation of biological process,regulation of localization,,,,,
88,positive regulation of rRNA processing (GO:2000234),GO:2000234,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of rRNA processing,,
89,mRNA splice site selection (GO:0006376),GO:0006376,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
90,positive regulation of transcription factor import into nucleus (GO:0042993),GO:0042993,,,,,,,,
91,response to glucagon (GO:0033762),GO:0033762,response to stimulus,response to chemical,response to hormone,response to organonitrogen compound,,,,
92,B cell activation (GO:0042113),GO:0042113,cellular process,leukocyte activation,lymphocyte activation,,,,,
93,regulation of nervous system development (GO:0051960),GO:0051960,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,,,,
94,heart morphogenesis (GO:0003007),GO:0003007,developmental process,anatomical structure morphogenesis,animal organ morphogenesis,,,,,
95,regulation of cell development (GO:0060284),GO:0060284,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,,,,
96,negative regulation of cAMP biosynthetic process (GO:0030818),GO:0030818,,,,,,,,
97,B cell differentiation (GO:0030183),GO:0030183,developmental process,leukocyte activation,cell differentiation,lymphocyte differentiation,mononuclear cell differentiation,,,
98,dendritic spine maintenance (GO:0097062),GO:0097062,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component maintenance,plasma membrane bounded cell projection organization,neuron projection organization,,
99,regulation of catecholamine secretion (GO:0050433),GO:0050433,biological regulation,regulation of biological process,regulation of localization,regulation of secretion by cell,regulation of secretion,,,
100,mitochondrial respiratory chain complex assembly (GO:0033108),GO:0033108,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,,,
101,regulation of lipoprotein lipase activity (GO:0051004),GO:0051004,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of hydrolase activity,regulation of lipase activity,,,
102,regulation of steroid biosynthetic process (GO:0050810),GO:0050810,biological regulation,regulation of biological process,regulation of metabolic process,regulation of primary metabolic process,regulation of lipid metabolic process,regulation of steroid metabolic process,,
103,protein export from nucleus (GO:0006611),GO:0006611,cellular process,cellular localization,cellular macromolecule localization,nuclear transport,nucleocytoplasmic transport,nuclear export,,
104,positive regulation of cell cycle G1/S phase transition (GO:1902808),GO:1902808,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of cell cycle phase transition,regulation of cell cycle G1/S phase transition,
105,posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620),GO:0006620,cellular process,cellular localization,localization within membrane,protein localization to membrane,protein targeting,protein localization to endoplasmic reticulum,,
106,positive regulation of lipase activity (GO:0060193),GO:0060193,biological regulation,regulation of molecular function,positive regulation of molecular function,positive regulation of catalytic activity,positive regulation of hydrolase activity,,,
107,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059),GO:0070059,biological regulation,regulation of biological process,cellular response to stress,response to endoplasmic reticulum stress,,,,
108,response to iron ion (GO:0010039),GO:0010039,response to stimulus,response to chemical,response to inorganic substance,response to metal ion,,,,
109,negative regulation of axon regeneration (GO:0048681),GO:0048681,biological regulation,regulation of biological process,regulation of developmental process,negative regulation of cellular process,negative regulation of response to external stimulus,negative regulation of cell projection organization,regulation of neuron projection development,
110,semaphorin-plexin signaling pathway (GO:0071526),GO:0071526,biological regulation,regulation of biological process,cell surface receptor signaling pathway,,,,,
111,positive regulation of mitotic metaphase/anaphase transition (GO:0045842),GO:0045842,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of organelle organization,regulation of mitotic cell cycle phase transition,positive regulation of mitotic cell cycle phase transition,positive regulation of metaphase/anaphase transition of cell cycle
112,negative regulation of epithelial cell apoptotic process (GO:1904036),GO:1904036,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell death,negative regulation of cell death,negative regulation of programmed cell death,negative regulation of apoptotic process,
113,regulation of actin filament-based process (GO:0032970),GO:0032970,biological regulation,regulation of biological process,regulation of cellular process,,,,,
114,negative regulation of oxidative stress-induced cell death (GO:1903202),GO:1903202,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of oxidative stress-induced cell death,,,
115,endoderm formation (GO:0001706),GO:0001706,developmental process,anatomical structure formation involved in morphogenesis,formation of primary germ layer,,,,,
116,regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959),GO:1902959,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of primary metabolic process,regulation of peptidase activity,regulation of aspartic-type peptidase activity,,
117,positive regulation of lipid biosynthetic process (GO:0046889),GO:0046889,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,regulation of lipid metabolic process,,,
118,regulation of bicellular tight junction assembly (GO:2000810),GO:2000810,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell junction assembly,,,
119,regulation of axon regeneration (GO:0048679),GO:0048679,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of neuron projection regeneration,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
120,positive regulation of interferon-alpha secretion (GO:1902741),GO:1902741,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of multicellular organismal process,regulation of gene expression,positive regulation of type I interferon production,,
121,pyruvate metabolic process (GO:0006090),GO:0006090,cellular process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,
122,myeloid cell development (GO:0061515),GO:0061515,developmental process,anatomical structure development,cell development,hemopoiesis,,,,
123,positive regulation of calcium ion-dependent exocytosis (GO:0045956),GO:0045956,biological regulation,regulation of biological process,positive regulation of biological process,regulation of transport,regulation of exocytosis,positive regulation of exocytosis,positive regulation of regulated secretory pathway,
124,positive regulation of signaling (GO:0023056),GO:0023056,biological regulation,regulation of biological process,positive regulation of biological process,,,,,
125,positive regulation of biomineral tissue development (GO:0070169),GO:0070169,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,regulation of biomineral tissue development,,,
126,response to muscle stretch (GO:0035994),GO:0035994,response to stimulus,response to abiotic stimulus,response to mechanical stimulus,,,,,
127,dopamine receptor signaling pathway (GO:0007212),GO:0007212,biological regulation,regulation of biological process,regulation of cellular process,,,,,
128,regulation of T cell activation (GO:0050863),GO:0050863,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell activation,regulation of lymphocyte activation,,,
129,endothelial cell development (GO:0001885),GO:0001885,developmental process,anatomical structure development,cell development,epithelial cell development,,,,
130,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),GO:0090092,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
131,spermatid development (GO:0007286),GO:0007286,reproductive process,developmental process involved in reproduction,germ cell development,,,,,
132,nucleotide biosynthetic process (GO:0009165),GO:0009165,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,,,
133,positive regulation of neuron projection development (GO:0010976),GO:0010976,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
134,actin polymerization or depolymerization (GO:0008154),GO:0008154,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,actin filament organization,,,
135,muscle tissue morphogenesis (GO:0060415),GO:0060415,developmental process,anatomical structure morphogenesis,tissue morphogenesis,,,,,
136,phosphatidylinositol 3-kinase signaling (GO:0014065),GO:0014065,biological regulation,regulation of biological process,regulation of cellular process,inositol lipid-mediated signaling,phosphatidylinositol-mediated signaling,,,
137,positive regulation of cytoskeleton organization (GO:0051495),GO:0051495,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cellular component organization,positive regulation of organelle organization,,
138,cardiac muscle cell development (GO:0055013),GO:0055013,developmental process,anatomical structure development,cell development,cardiac cell development,,,,
139,regulation of transferase activity (GO:0051338),GO:0051338,biological regulation,regulation of molecular function,regulation of catalytic activity,,,,,
140,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway (GO:0007193),GO:0007193,biological regulation,regulation of biological process,G protein-coupled receptor signaling pathway,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,,,,
141,rRNA processing (GO:0006364),GO:0006364,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,
142,positive regulation of nervous system development (GO:0051962),GO:0051962,biological regulation,regulation of biological process,regulation of multicellular organismal process,positive regulation of developmental process,regulation of nervous system development,,,
143,positive regulation of phagocytosis (GO:0050766),GO:0050766,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of endocytosis,regulation of phagocytosis,,
144,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972),GO:0000972,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,chromosome organization,,,
145,regulation of microtubule polymerization or depolymerization (GO:0031110),GO:0031110,biological regulation,regulation of biological process,regulation of cellular process,regulation of microtubule-based process,regulation of microtubule cytoskeleton organization,regulation of cytoskeleton organization,,
146,neuron projection regeneration (GO:0031102),GO:0031102,developmental process,anatomical structure development,cellular response to stress,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,
147,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),GO:0050732,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of protein phosphorylation,regulation of peptidyl-tyrosine phosphorylation
148,mitochondrial fusion (GO:0008053),GO:0008053,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle fusion,,,
149,positive regulation of cytokinesis (GO:0032467),GO:0032467,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,positive regulation of cell division,positive regulation of cell cycle process,,
150,"SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)",GO:0006616,cellular process,cellular localization,cellular macromolecule localization,protein localization,,,,
151,regulation of protein localization to cell periphery (GO:1904375),GO:1904375,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,,,
152,mismatch repair (GO:0006298),GO:0006298,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
153,DNA topological change (GO:0006265),GO:0006265,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,DNA conformation change,,
154,regulation of rRNA processing (GO:2000232),GO:2000232,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,,,
155,positive regulation of cytokine production involved in immune response (GO:0002720),GO:0002720,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,positive regulation of macromolecule metabolic process,positive regulation of production of molecular mediator of immune response,,
156,positive regulation of glucose import in response to insulin stimulus (GO:2001275),GO:2001275,,,,,,,,
157,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",GO:0000462,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
158,negative regulation of amyloid-beta formation (GO:1902430),GO:1902430,biological regulation,regulation of biological process,negative regulation of biological process,regulation of nitrogen compound metabolic process,negative regulation of macromolecule metabolic process,regulation of amyloid-beta formation,negative regulation of amyloid precursor protein catabolic process,
159,positive regulation of cation transmembrane transport (GO:1904064),GO:1904064,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,positive regulation of transmembrane transport,positive regulation of monoatomic ion transmembrane transport,,
160,negative regulation of vascular smooth muscle cell proliferation (GO:1904706),GO:1904706,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell population proliferation,regulation of smooth muscle cell proliferation,regulation of vascular associated smooth muscle cell proliferation,,
161,negative regulation of JNK cascade (GO:0046329),GO:0046329,biological regulation,regulation of biological process,regulation of signaling,negative regulation of cellular process,regulation of stress-activated protein kinase signaling cascade,negative regulation of stress-activated protein kinase signaling cascade,negative regulation of MAPK cascade,
162,positive regulation of neuron differentiation (GO:0045666),GO:0045666,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell differentiation,regulation of neuron differentiation,,,
163,regulation of cardiac muscle cell contraction (GO:0086004),GO:0086004,biological regulation,regulation of biological process,regulation of cellular process,regulation of system process,regulation of blood circulation,regulation of muscle contraction,regulation of striated muscle contraction,
164,ammonium transport (GO:0015696),GO:0015696,cellular process,establishment of localization,transport,inorganic cation transmembrane transport,,,,
165,regulation of cell junction assembly (GO:1901888),GO:1901888,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,,,,
166,myofibril assembly (GO:0030239),GO:0030239,developmental process,actin filament-based process,cellular component assembly involved in morphogenesis,organelle organization,cytoskeleton organization,non-membrane-bounded organelle assembly,,
167,phosphatidylethanolamine metabolic process (GO:0046337),GO:0046337,cellular process,cellular metabolic process,phosphorus metabolic process,glycerolipid metabolic process,glycerophospholipid metabolic process,,,
168,response to cAMP (GO:0051591),GO:0051591,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,response to purine-containing compound,,,
