#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0043025	Neuronal cell body	6	518	1.12	0.00042	9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000362566,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC8A2,CPNE5,HPCA,SYT7,PPP1R9B,SRCIN1
GO:0150034	Distal axon	5	310	1.27	0.00062	9606.ENSP00000236877,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000444201,9606.ENSP00000478767	SLC8A2,LPHN1,NCS1,SYT7,PPP1R9B
GO:0014069	Postsynaptic density	5	344	1.22	0.00096	9606.ENSP00000236877,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000478767,9606.ENSP00000484715	SLC8A2,LPHN1,NCS1,PPP1R9B,SRCIN1
GO:0044327	Dendritic spine head	2	12	2.28	0.0057	9606.ENSP00000362566,9606.ENSP00000478767	HPCA,PPP1R9B
GO:0043679	Axon terminus	3	128	1.43	0.0158	9606.ENSP00000236877,9606.ENSP00000361475,9606.ENSP00000444201	SLC8A2,NCS1,SYT7
GO:0005886	Plasma membrane	12	5314	0.41	0.0193	9606.ENSP00000221485,9606.ENSP00000221891,9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000262494,9606.ENSP00000265459,9606.ENSP00000296575,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000444201,9606.ENSP00000478767	SLC17A7,APLP1,SLC8A2,CPNE5,GNAO1,NRXN2,HHIP,LPHN1,NCS1,HPCA,SYT7,PPP1R9B
GO:0031045	Dense core granule	2	26	1.95	0.0204	9606.ENSP00000361475,9606.ENSP00000444201	NCS1,SYT7
GO:0043204	Perikaryon	3	157	1.34	0.0227	9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000362566	SLC8A2,CPNE5,HPCA
GO:0098590	Plasma membrane region	6	1219	0.75	0.0263	9606.ENSP00000236877,9606.ENSP00000296575,9606.ENSP00000340688,9606.ENSP00000362566,9606.ENSP00000444201,9606.ENSP00000478767	SLC8A2,HHIP,LPHN1,HPCA,SYT7,PPP1R9B
GO:0016020	Membrane	15	9072	0.28	0.0271	9606.ENSP00000221485,9606.ENSP00000221891,9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000262494,9606.ENSP00000265459,9606.ENSP00000296575,9606.ENSP00000340688,9606.ENSP00000346483,9606.ENSP00000357869,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000379098,9606.ENSP00000444201,9606.ENSP00000478767	SLC17A7,APLP1,SLC8A2,CPNE5,GNAO1,NRXN2,HHIP,LPHN1,DDRGK1,PI4KB,NCS1,HPCA,CAMK2B,SYT7,PPP1R9B
GO:0043197	Dendritic spine	3	173	1.3	0.0271	9606.ENSP00000236877,9606.ENSP00000362566,9606.ENSP00000478767	SLC8A2,HPCA,PPP1R9B
GO:0032590	Dendrite membrane	2	44	1.72	0.0407	9606.ENSP00000362566,9606.ENSP00000478767	HPCA,PPP1R9B
