,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
38,negative regulation of calcium-mediated signaling (GO:0050849),GO:0050849,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,negative regulation of signal transduction,negative regulation of intracellular signal transduction,,
39,vesicle transport along actin filament (GO:0030050),GO:0030050,cellular process,actin filament-based process,vesicle localization,cytoskeleton-dependent intracellular transport,actin filament-based transport,,,
40,calcium ion transport into cytosol (GO:0060402),GO:0060402,cellular process,transmembrane transport,positive regulation of cytosolic calcium ion concentration,inorganic cation transmembrane transport,calcium ion transport,metal ion transport,,
41,regulation of nucleocytoplasmic transport (GO:0046822),GO:0046822,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of intracellular transport,,,
42,proteoglycan metabolic process (GO:0006029),GO:0006029,metabolic process,nitrogen compound metabolic process,carbohydrate derivative metabolic process,glycoprotein metabolic process,,,,
43,regulation of interleukin-6 production (GO:0032675),GO:0032675,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
44,eye development (GO:0001654),GO:0001654,developmental process,anatomical structure development,animal organ development,sensory organ development,,,,
45,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)",GO:0019919,metabolic process,methylation,macromolecule methylation,protein modification process,peptidyl-arginine methylation,peptidyl-arginine N-methylation,peptidyl-arginine omega-N-methylation,
46,positive regulation of blood vessel endothelial cell migration (GO:0043536),GO:0043536,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,regulation of blood vessel endothelial cell migration,,
47,receptor localization to synapse (GO:0097120),GO:0097120,localization,protein-containing complex localization,,,,,,
48,myofibril assembly (GO:0030239),GO:0030239,developmental process,actin filament-based process,cellular component assembly involved in morphogenesis,organelle organization,cytoskeleton organization,non-membrane-bounded organelle assembly,,
49,DNA replication-independent nucleosome assembly (GO:0006336),GO:0006336,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,,,
50,regulation of viral transcription (GO:0046782),GO:0046782,biological regulation,regulation of biological process,regulation of viral process,,,,,
51,renal absorption (GO:0070293),GO:0070293,multicellular organismal process,system process,renal system process,,,,,
52,regulation of activated T cell proliferation (GO:0046006),GO:0046006,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell activation,regulation of leukocyte proliferation,regulation of mononuclear cell proliferation,regulation of T cell proliferation,
53,stem cell development (GO:0048864),GO:0048864,developmental process,anatomical structure development,cell development,,,,,
54,regulation of methylation-dependent chromatin silencing (GO:0090308),GO:0090308,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular component organization,regulation of gene expression,regulation of heterochromatin organization,,
55,cellular response to alkaloid (GO:0071312),GO:0071312,cellular process,response to chemical,cellular response to endogenous stimulus,cellular response to organic substance,response to alkaloid,,,
56,negative regulation of double-strand break repair (GO:2000780),GO:2000780,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of macromolecule metabolic process,regulation of double-strand break repair,,
57,chondroitin sulfate proteoglycan biosynthetic process (GO:0050650),GO:0050650,metabolic process,primary metabolic process,organic substance biosynthetic process,macromolecule biosynthetic process,glycoprotein biosynthetic process,chondroitin sulfate proteoglycan metabolic process,,
58,regulation of axon regeneration (GO:0048679),GO:0048679,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of neuron projection regeneration,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
59,regulation of ion homeostasis (GO:2000021),GO:2000021,homeostatic process,chemical homeostasis,,,,,,
60,response to purine-containing compound (GO:0014074),GO:0014074,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,,,,
61,regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211),GO:0060211,biological regulation,regulation of biological process,regulation of metabolic process,regulation of catabolic process,regulation of nucleobase-containing compound metabolic process,regulation of mRNA metabolic process,,
62,peptidyl-arginine methylation (GO:0018216),GO:0018216,metabolic process,methylation,macromolecule methylation,protein methylation,protein alkylation,peptidyl-arginine modification,,
63,nucleosome disassembly (GO:0006337),GO:0006337,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,protein-DNA complex disassembly,chromatin remodeling,nucleosome organization
64,regulation of ARF protein signal transduction (GO:0032012),GO:0032012,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,regulation of small GTPase mediated signal transduction,regulation of Ras protein signal transduction,
65,oxidative phosphorylation (GO:0006119),GO:0006119,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,aerobic respiration,,
66,regulation of potassium ion transport (GO:0043266),GO:0043266,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transport,regulation of metal ion transport,,
67,potassium ion import (GO:0010107),GO:0010107,cellular process,transmembrane transport,transport,inorganic cation transmembrane transport,potassium ion transmembrane transport,metal ion transport,potassium ion transport,
68,negative regulation of fat cell differentiation (GO:0045599),GO:0045599,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell differentiation,regulation of fat cell differentiation,,,
69,negative regulation of gene silencing by miRNA (GO:0060965),GO:0060965,biological regulation,regulation of biological process,positive regulation of biological process,negative regulation of gene silencing by RNA,regulation of gene expression,regulation of post-transcriptional gene silencing,regulation of post-transcriptional gene silencing by RNA,regulation of miRNA-mediated gene silencing
70,chromatin remodeling at centromere (GO:0031055),GO:0031055,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,chromatin organization,chromatin remodeling,
71,chromatin disassembly (GO:0031498),GO:0031498,,,,,,,,
72,regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266),GO:0090266,biological regulation,regulation of biological process,regulation of signaling,regulation of signal transduction,regulation of intracellular signal transduction,regulation of mitotic cell cycle phase transition,regulation of metaphase/anaphase transition of cell cycle,regulation of mitotic sister chromatid segregation
73,cAMP catabolic process (GO:0006198),GO:0006198,cellular process,catabolic process,organic cyclic compound metabolic process,organophosphate catabolic process,nucleoside phosphate catabolic process,purine ribonucleotide metabolic process,cyclic nucleotide catabolic process,
74,regulation of p38MAPK cascade (GO:1900744),GO:1900744,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of stress-activated protein kinase signaling cascade,regulation of MAPK cascade,,
75,positive regulation of glucose import in response to insulin stimulus (GO:2001275),GO:2001275,,,,,,,,
76,positive regulation of fatty acid oxidation (GO:0046321),GO:0046321,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of cellular ketone metabolic process,positive regulation of fatty acid metabolic process,regulation of fatty acid oxidation,
77,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269),GO:2001269,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of proteolysis,positive regulation of endopeptidase activity,positive regulation of cysteine-type endopeptidase activity
78,regulation of cell junction assembly (GO:1901888),GO:1901888,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,,,,
