,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
60,positive regulation of adherens junction organization (GO:1903393),GO:1903393,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of adherens junction organization,,,
61,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),GO:0006614,cellular process,cellular localization,localization within membrane,protein localization to membrane,protein targeting,protein localization to endoplasmic reticulum,,
62,negative regulation of kinase activity (GO:0033673),GO:0033673,biological regulation,regulation of biological process,regulation of metabolic process,negative regulation of cellular process,regulation of kinase activity,regulation of phosphate metabolic process,regulation of phosphorylation,negative regulation of phosphorylation
63,endoplasmic reticulum mannose trimming (GO:1904380),GO:1904380,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,glycoprotein metabolic process,protein deglycosylation,protein demannosylation,"protein alpha-1,2-demannosylation",
64,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739),GO:1900739,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of establishment of protein localization to mitochondrion,
65,GTP metabolic process (GO:0046039),GO:0046039,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleoside triphosphate metabolic process,purine ribonucleotide metabolic process,purine ribonucleoside triphosphate metabolic process,
66,regulation of synapse organization (GO:0050807),GO:0050807,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,,,,
67,COPII-coated vesicle budding (GO:0090114),GO:0090114,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,vesicle budding from membrane,,,
68,regulation of synaptic vesicle transport (GO:1902803),GO:1902803,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
69,phosphatidic acid metabolic process (GO:0046473),GO:0046473,cellular process,cellular metabolic process,phosphorus metabolic process,glycerolipid metabolic process,glycerophospholipid metabolic process,,,
70,mitotic spindle assembly checkpoint (GO:0007094),GO:0007094,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,regulation of mitotic cell cycle phase transition,negative regulation of mitotic nuclear division,negative regulation of mitotic metaphase/anaphase transition
71,negative regulation of intracellular protein transport (GO:0090317),GO:0090317,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,,
72,nuclear pore organization (GO:0006999),GO:0006999,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,nucleus organization,,,
73,regulation of extracellular matrix disassembly (GO:0010715),GO:0010715,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of extracellular matrix organization,,,
74,regulation of osteoblast proliferation (GO:0033688),GO:0033688,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell population proliferation,,,,
75,regulation of interleukin-12 production (GO:0032655),GO:0032655,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
76,regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947),GO:0030947,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,,,,
77,cellular response to inorganic substance (GO:0071241),GO:0071241,cellular process,response to chemical,response to inorganic substance,,,,,
78,ribosome assembly (GO:0042255),GO:0042255,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle assembly,non-membrane-bounded organelle assembly,,
79,regulation of RNA export from nucleus (GO:0046831),GO:0046831,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular localization,regulation of intracellular transport,regulation of nucleocytoplasmic transport,,
80,positive regulation of receptor internalization (GO:0002092),GO:0002092,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of endocytosis,positive regulation of receptor-mediated endocytosis,regulation of receptor internalization,
81,regulation of actin filament bundle assembly (GO:0032231),GO:0032231,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of supramolecular fiber organization,regulation of actin filament organization,,
82,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)",GO:1900151,biological regulation,regulation of biological process,regulation of RNA stability,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,,
83,positive regulation of reactive oxygen species biosynthetic process (GO:1903428),GO:1903428,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular metabolic process,positive regulation of cellular metabolic process,positive regulation of reactive oxygen species metabolic process,,
84,negative regulation of protein kinase activity (GO:0006469),GO:0006469,biological regulation,regulation of biological process,regulation of metabolic process,negative regulation of cellular process,regulation of kinase activity,negative regulation of protein metabolic process,regulation of protein phosphorylation,negative regulation of phosphorylation
85,negative regulation of establishment of protein localization (GO:1904950),GO:1904950,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of establishment of protein localization,,
86,cell chemotaxis (GO:0060326),GO:0060326,locomotion,cell motility,cell migration,,,,,
87,CENP-A containing chromatin organization (GO:0061641),GO:0061641,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,chromatin organization,chromatin remodeling,chromatin remodeling at centromere
88,mitotic cell cycle arrest (GO:0071850),GO:0071850,biological regulation,regulation of biological process,regulation of cellular process,,,,,
89,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),GO:1902235,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of apoptotic signaling pathway,regulation of apoptotic process,,
90,negative regulation of cytoplasmic translation (GO:2000766),GO:2000766,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of biosynthetic process,negative regulation of protein metabolic process,regulation of cytoplasmic translation,
91,positive regulation of nuclease activity (GO:0032075),GO:0032075,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of nuclease activity,positive regulation of nucleobase-containing compound metabolic process,,
92,negative regulation of homeostatic process (GO:0032845),GO:0032845,,,,,,,,
93,negative regulation of developmental growth (GO:0048640),GO:0048640,biological regulation,regulation of biological process,negative regulation of biological process,regulation of developmental growth,,,,
94,positive regulation of excitatory postsynaptic potential (GO:2000463),GO:2000463,biological regulation,regulation of biological process,regulation of signaling,regulation of trans-synaptic signaling,regulation of nervous system process,,,
95,maintenance of protein location in nucleus (GO:0051457),GO:0051457,cellular process,maintenance of location,maintenance of protein location in cell,maintenance of protein localization in organelle,,,,
96,Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),GO:0038096,cellular process,activation of immune response,positive regulation of biological process,immune response-regulating cell surface receptor signaling pathway,Fc receptor signaling pathway,Fc-gamma receptor signaling pathway,,
97,glucose catabolic process to pyruvate (GO:0061718),GO:0061718,cellular process,catabolic process,small molecule catabolic process,carbohydrate catabolic process,hexose catabolic process,glucose catabolic process,pyruvate metabolic process,
98,establishment of mitotic spindle orientation (GO:0000132),GO:0000132,cellular process,establishment of localization,microtubule cytoskeleton organization,organelle organization,establishment of mitotic spindle localization,,,
99,regulation of cytoplasmic transport (GO:1903649),GO:1903649,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of intracellular transport,,,
100,regulation of neuronal synaptic plasticity (GO:0048168),GO:0048168,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
101,positive regulation of mitotic sister chromatid separation (GO:1901970),GO:1901970,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of chromosome segregation,positive regulation of chromosome separation,regulation of mitotic sister chromatid separation
102,negative regulation of interleukin-2 production (GO:0032703),GO:0032703,biological regulation,regulation of biological process,regulation of multicellular organismal process,negative regulation of multicellular organismal process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,,
103,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",GO:0006977,cellular process,regulation of biological process,negative regulation of biological process,signal transduction by p53 class mediator,mitotic DNA integrity checkpoint signaling,regulation of mitotic cell cycle phase transition,regulation of cell cycle G1/S phase transition,negative regulation of cell cycle G1/S phase transition
104,regulation of interleukin-2 production (GO:0032663),GO:0032663,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
105,vascular endothelial growth factor receptor signaling pathway (GO:0048010),GO:0048010,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,,,
106,regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041),GO:1902041,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of apoptotic signaling pathway,regulation of apoptotic process,,
107,regulation of cellular localization (GO:0060341),GO:0060341,biological regulation,regulation of biological process,regulation of localization,,,,,
108,rRNA transport (GO:0051029),GO:0051029,localization,establishment of localization,transport,RNA transport,nucleobase-containing compound transport,nucleic acid transport,,
109,positive regulation of rRNA processing (GO:2000234),GO:2000234,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of rRNA processing,,
110,positive regulation of transcription factor import into nucleus (GO:0042993),GO:0042993,,,,,,,,
111,response to glucagon (GO:0033762),GO:0033762,response to stimulus,response to chemical,response to hormone,response to organonitrogen compound,,,,
112,iron ion transport (GO:0006826),GO:0006826,localization,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,metal ion transport,transition metal ion transport,
113,mitotic spindle checkpoint (GO:0071174),GO:0071174,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,negative regulation of cell cycle process,negative regulation of cell cycle phase transition,
114,regulation of nervous system development (GO:0051960),GO:0051960,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,,,,
115,regulation of cell development (GO:0060284),GO:0060284,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,,,,
116,negative regulation of cAMP biosynthetic process (GO:0030818),GO:0030818,,,,,,,,
117,B cell differentiation (GO:0030183),GO:0030183,developmental process,leukocyte activation,cell differentiation,lymphocyte differentiation,mononuclear cell differentiation,,,
118,dendritic spine maintenance (GO:0097062),GO:0097062,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component maintenance,plasma membrane bounded cell projection organization,neuron projection organization,,
119,regulation of catecholamine secretion (GO:0050433),GO:0050433,biological regulation,regulation of biological process,regulation of localization,regulation of secretion by cell,regulation of secretion,,,
120,mitochondrial respiratory chain complex assembly (GO:0033108),GO:0033108,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,,,
121,negative regulation of histone methylation (GO:0031061),GO:0031061,biological regulation,regulation of biological process,negative regulation of biological process,regulation of primary metabolic process,negative regulation of macromolecule metabolic process,negative regulation of protein metabolic process,regulation of histone modification,regulation of histone methylation
122,positive regulation of supramolecular fiber organization (GO:1902905),GO:1902905,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cellular component organization,,,
123,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059),GO:0070059,biological regulation,regulation of biological process,cellular response to stress,response to endoplasmic reticulum stress,,,,
124,vesicle coating (GO:0006901),GO:0006901,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,vesicle organization,,,
125,response to iron ion (GO:0010039),GO:0010039,response to stimulus,response to chemical,response to inorganic substance,response to metal ion,,,,
126,negative regulation of axon regeneration (GO:0048681),GO:0048681,biological regulation,regulation of biological process,regulation of developmental process,negative regulation of cellular process,negative regulation of response to external stimulus,negative regulation of cell projection organization,regulation of neuron projection development,
127,semaphorin-plexin signaling pathway (GO:0071526),GO:0071526,biological regulation,regulation of biological process,cell surface receptor signaling pathway,,,,,
128,regulation of actin cytoskeleton reorganization (GO:2000249),GO:2000249,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,regulation of cytoskeleton organization,,
129,positive regulation of mitotic metaphase/anaphase transition (GO:0045842),GO:0045842,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of organelle organization,regulation of mitotic cell cycle phase transition,positive regulation of mitotic cell cycle phase transition,positive regulation of metaphase/anaphase transition of cell cycle
130,regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959),GO:1902959,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of primary metabolic process,regulation of peptidase activity,regulation of aspartic-type peptidase activity,,
131,anion transmembrane transport (GO:0098656),GO:0098656,cellular process,establishment of localization,transport,monoatomic ion transport,monoatomic anion transport,,,
132,regulation of bicellular tight junction assembly (GO:2000810),GO:2000810,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell junction assembly,,,
133,positive regulation of lipid biosynthetic process (GO:0046889),GO:0046889,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,regulation of lipid metabolic process,,,
134,negative regulation of stress-activated MAPK cascade (GO:0032873),GO:0032873,biological regulation,regulation of biological process,regulation of signaling,negative regulation of cellular process,regulation of stress-activated protein kinase signaling cascade,negative regulation of stress-activated protein kinase signaling cascade,negative regulation of MAPK cascade,
135,positive regulation of interferon-alpha secretion (GO:1902741),GO:1902741,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of multicellular organismal process,regulation of gene expression,positive regulation of type I interferon production,,
136,myeloid cell development (GO:0061515),GO:0061515,developmental process,anatomical structure development,cell development,hemopoiesis,,,,
137,positive regulation of calcium ion-dependent exocytosis (GO:0045956),GO:0045956,biological regulation,regulation of biological process,positive regulation of biological process,regulation of transport,regulation of exocytosis,positive regulation of exocytosis,positive regulation of regulated secretory pathway,
138,positive regulation of signaling (GO:0023056),GO:0023056,biological regulation,regulation of biological process,positive regulation of biological process,,,,,
139,response to muscle stretch (GO:0035994),GO:0035994,response to stimulus,response to abiotic stimulus,response to mechanical stimulus,,,,,
140,response to increased oxygen levels (GO:0036296),GO:0036296,response to stimulus,response to abiotic stimulus,response to oxygen levels,,,,,
141,dopamine receptor signaling pathway (GO:0007212),GO:0007212,biological regulation,regulation of biological process,regulation of cellular process,,,,,
142,eye morphogenesis (GO:0048592),GO:0048592,developmental process,anatomical structure morphogenesis,animal organ morphogenesis,sensory organ morphogenesis,,,,
143,regulation of T cell activation (GO:0050863),GO:0050863,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell activation,regulation of lymphocyte activation,,,
144,regulation of NIK/NF-kappaB signaling (GO:1901222),GO:1901222,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,,,
145,histone H4-K16 acetylation (GO:0043984),GO:0043984,metabolic process,primary metabolic process,organonitrogen compound metabolic process,protein modification process,protein acylation,peptidyl-lysine modification,internal protein amino acid acetylation,internal peptidyl-lysine acetylation
146,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),GO:0090092,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
147,endothelial cell development (GO:0001885),GO:0001885,developmental process,anatomical structure development,cell development,epithelial cell development,,,,
148,regulation of DNA recombination (GO:0000018),GO:0000018,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,,,
149,calcineurin-mediated signaling (GO:0097720),GO:0097720,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,calcium-mediated signaling,,,
150,spermatid development (GO:0007286),GO:0007286,reproductive process,developmental process involved in reproduction,germ cell development,,,,,
151,positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862),GO:0010862,biological regulation,regulation of biological process,regulation of signaling,positive regulation of metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of protein phosphorylation,regulation of pathway-restricted SMAD protein phosphorylation
152,positive regulation of leukocyte apoptotic process (GO:2000108),GO:2000108,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell death,regulation of apoptotic process,regulation of leukocyte apoptotic process,
153,nucleotide biosynthetic process (GO:0009165),GO:0009165,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,,,
154,positive regulation of neuron projection development (GO:0010976),GO:0010976,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
155,actin polymerization or depolymerization (GO:0008154),GO:0008154,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,actin filament organization,,,
156,positive regulation of phospholipase C activity (GO:0010863),GO:0010863,biological regulation,regulation of molecular function,positive regulation of molecular function,positive regulation of catalytic activity,positive regulation of hydrolase activity,regulation of phospholipase activity,positive regulation of phospholipase activity,
157,positive regulation of cytoskeleton organization (GO:0051495),GO:0051495,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cellular component organization,positive regulation of organelle organization,,
158,regulation of transferase activity (GO:0051338),GO:0051338,biological regulation,regulation of molecular function,regulation of catalytic activity,,,,,
159,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway (GO:0007193),GO:0007193,biological regulation,regulation of biological process,G protein-coupled receptor signaling pathway,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,,,,
160,rRNA processing (GO:0006364),GO:0006364,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,
161,positive regulation of nervous system development (GO:0051962),GO:0051962,biological regulation,regulation of biological process,regulation of multicellular organismal process,positive regulation of developmental process,regulation of nervous system development,,,
162,negative regulation of mitotic cell cycle (GO:0045930),GO:0045930,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell cycle,regulation of mitotic cell cycle,,,
163,regulation of lipid transport (GO:0032368),GO:0032368,biological regulation,regulation of biological process,regulation of localization,regulation of lipid localization,,,,
164,positive regulation of phagocytosis (GO:0050766),GO:0050766,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of endocytosis,regulation of phagocytosis,,
