,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
13,regulation of cAMP-dependent protein kinase activity (GO:2000479),GO:2000479,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,
14,hepatocyte growth factor receptor signaling pathway (GO:0048012),GO:0048012,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,,,
15,negative regulation of cell-matrix adhesion (GO:0001953),GO:0001953,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell adhesion,regulation of cell-substrate adhesion,regulation of cell-matrix adhesion,,
16,glycogen biosynthetic process (GO:0005978),GO:0005978,cellular process,primary metabolic process,organic substance biosynthetic process,carbohydrate biosynthetic process,glucan metabolic process,glucan biosynthetic process,,
17,amino acid transport (GO:0006865),GO:0006865,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
18,regulation of necrotic cell death (GO:0010939),GO:0010939,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell death,,,,
19,regulation of autophagosome assembly (GO:2000785),GO:2000785,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of organelle assembly,regulation of vacuole organization,,
20,establishment of mitotic spindle localization (GO:0040001),GO:0040001,cellular process,microtubule-based process,spindle localization,microtubule cytoskeleton organization involved in mitosis,cytoskeleton organization,,,
21,neuron projection organization (GO:0106027),GO:0106027,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,,,
22,neurotransmitter receptor transport (GO:0099637),GO:0099637,cellular process,protein-containing complex localization,transport,protein localization,,,,
23,mitochondrial protein processing (GO:0034982),GO:0034982,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,proteolysis,protein processing,,,
24,nuclear import (GO:0051170),GO:0051170,cellular process,establishment of localization,transport,nuclear transport,nucleocytoplasmic transport,,,
25,regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143),GO:0033143,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
26,positive regulation of extracellular matrix organization (GO:1903055),GO:1903055,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of extracellular matrix organization,,,
27,acetylcholine receptor signaling pathway (GO:0095500),GO:0095500,biological regulation,regulation of biological process,postsynaptic signal transduction,,,,,
28,regulation of cellular response to transforming growth factor beta stimulus (GO:1903844),GO:1903844,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,,,,
29,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),GO:0006614,cellular process,cellular localization,localization within membrane,protein localization to membrane,protein targeting,protein localization to endoplasmic reticulum,,
30,endoplasmic reticulum mannose trimming (GO:1904380),GO:1904380,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,glycoprotein metabolic process,protein deglycosylation,protein demannosylation,"protein alpha-1,2-demannosylation",
31,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739),GO:1900739,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of establishment of protein localization to mitochondrion,
32,GTP metabolic process (GO:0046039),GO:0046039,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleoside triphosphate metabolic process,purine ribonucleotide metabolic process,purine ribonucleoside triphosphate metabolic process,
33,regulation of synapse organization (GO:0050807),GO:0050807,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,,,,
34,mitotic spindle assembly checkpoint (GO:0007094),GO:0007094,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,regulation of mitotic cell cycle phase transition,negative regulation of mitotic nuclear division,negative regulation of mitotic metaphase/anaphase transition
35,negative regulation of intracellular protein transport (GO:0090317),GO:0090317,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,,
36,regulation of extracellular matrix disassembly (GO:0010715),GO:0010715,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of extracellular matrix organization,,,
37,cellular response to inorganic substance (GO:0071241),GO:0071241,cellular process,response to chemical,response to inorganic substance,,,,,
38,microtubule depolymerization (GO:0007019),GO:0007019,cellular process,microtubule-based process,cellular component organization,microtubule polymerization or depolymerization,cytoskeleton organization,protein depolymerization,,
39,regulation of RNA export from nucleus (GO:0046831),GO:0046831,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular localization,regulation of intracellular transport,regulation of nucleocytoplasmic transport,,
40,positive regulation of receptor internalization (GO:0002092),GO:0002092,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of endocytosis,positive regulation of receptor-mediated endocytosis,regulation of receptor internalization,
41,regulation of actin filament bundle assembly (GO:0032231),GO:0032231,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of supramolecular fiber organization,regulation of actin filament organization,,
42,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)",GO:1900151,biological regulation,regulation of biological process,regulation of RNA stability,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,,
43,negative regulation of establishment of protein localization (GO:1904950),GO:1904950,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of establishment of protein localization,,
44,"positive regulation of DNA-templated transcription, initiation (GO:2000144)",GO:2000144,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,positive regulation of RNA biosynthetic process,positive regulation of nucleic acid-templated transcription
45,CENP-A containing chromatin organization (GO:0061641),GO:0061641,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,chromatin organization,chromatin remodeling,chromatin remodeling at centromere
46,mitotic cell cycle arrest (GO:0071850),GO:0071850,biological regulation,regulation of biological process,regulation of cellular process,,,,,
47,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),GO:1902235,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of apoptotic signaling pathway,regulation of apoptotic process,,
48,negative regulation of cytoplasmic translation (GO:2000766),GO:2000766,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of biosynthetic process,negative regulation of protein metabolic process,regulation of cytoplasmic translation,
49,positive regulation of protein autophosphorylation (GO:0031954),GO:0031954,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of protein phosphorylation,regulation of protein autophosphorylation
50,negative regulation of homeostatic process (GO:0032845),GO:0032845,,,,,,,,
51,positive regulation of coenzyme metabolic process (GO:0051197),GO:0051197,,,,,,,,
52,positive regulation of nuclease activity (GO:0032075),GO:0032075,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of nuclease activity,positive regulation of nucleobase-containing compound metabolic process,,
53,regulation of mitotic sister chromatid separation (GO:0010965),GO:0010965,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of cell cycle process,regulation of chromosome segregation,regulation of chromosome separation,
54,"regulation of synaptic transmission, glutamatergic (GO:0051966)",GO:0051966,biological regulation,regulation of biological process,regulation of signaling,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
55,glucose catabolic process to pyruvate (GO:0061718),GO:0061718,cellular process,catabolic process,small molecule catabolic process,carbohydrate catabolic process,hexose catabolic process,glucose catabolic process,pyruvate metabolic process,
56,"regulation of DNA-templated transcription, elongation (GO:0032784)",GO:0032784,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
57,establishment of mitotic spindle orientation (GO:0000132),GO:0000132,cellular process,establishment of localization,microtubule cytoskeleton organization,organelle organization,establishment of mitotic spindle localization,,,
58,regulation of neuronal synaptic plasticity (GO:0048168),GO:0048168,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
59,positive regulation of mitotic sister chromatid separation (GO:1901970),GO:1901970,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of chromosome segregation,positive regulation of chromosome separation,regulation of mitotic sister chromatid separation
60,negative regulation of interleukin-2 production (GO:0032703),GO:0032703,biological regulation,regulation of biological process,regulation of multicellular organismal process,negative regulation of multicellular organismal process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,,
61,production of siRNA involved in RNA interference (GO:0030422),GO:0030422,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,ncRNA processing,regulatory ncRNA processing
62,rRNA transport (GO:0051029),GO:0051029,localization,establishment of localization,transport,RNA transport,nucleobase-containing compound transport,nucleic acid transport,,
63,mRNA splice site selection (GO:0006376),GO:0006376,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
64,positive regulation of transcription factor import into nucleus (GO:0042993),GO:0042993,,,,,,,,
65,"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",GO:0006122,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,respiratory electron transport chain,aerobic respiration,,
66,response to glucagon (GO:0033762),GO:0033762,response to stimulus,response to chemical,response to hormone,response to organonitrogen compound,,,,
67,mitotic spindle checkpoint (GO:0071174),GO:0071174,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,negative regulation of cell cycle process,negative regulation of cell cycle phase transition,
68,negative regulation of cAMP biosynthetic process (GO:0030818),GO:0030818,,,,,,,,
69,mitochondrial respiratory chain complex assembly (GO:0033108),GO:0033108,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,,,
70,negative regulation of TORC1 signaling (GO:1904262),GO:1904262,biological regulation,regulation of biological process,regulation of signaling,negative regulation of cellular process,regulation of intracellular signal transduction,negative regulation of intracellular signal transduction,regulation of TORC1 signaling,
71,copper ion homeostasis (GO:0055070),GO:0055070,homeostatic process,chemical homeostasis,inorganic ion homeostasis,monoatomic cation homeostasis,,,,
72,negative regulation of axon regeneration (GO:0048681),GO:0048681,biological regulation,regulation of biological process,regulation of developmental process,negative regulation of cellular process,negative regulation of response to external stimulus,negative regulation of cell projection organization,regulation of neuron projection development,
73,semaphorin-plexin signaling pathway (GO:0071526),GO:0071526,biological regulation,regulation of biological process,cell surface receptor signaling pathway,,,,,
74,positive regulation of mitotic metaphase/anaphase transition (GO:0045842),GO:0045842,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of organelle organization,regulation of mitotic cell cycle phase transition,positive regulation of mitotic cell cycle phase transition,positive regulation of metaphase/anaphase transition of cell cycle
75,regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959),GO:1902959,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of primary metabolic process,regulation of peptidase activity,regulation of aspartic-type peptidase activity,,
76,positive regulation of lipid biosynthetic process (GO:0046889),GO:0046889,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,regulation of lipid metabolic process,,,
77,regulation of bicellular tight junction assembly (GO:2000810),GO:2000810,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell junction assembly,,,
78,regulation of axon regeneration (GO:0048679),GO:0048679,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of neuron projection regeneration,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
79,positive regulation of interferon-alpha secretion (GO:1902741),GO:1902741,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of multicellular organismal process,regulation of gene expression,positive regulation of type I interferon production,,
80,positive regulation of calcium ion-dependent exocytosis (GO:0045956),GO:0045956,biological regulation,regulation of biological process,positive regulation of biological process,regulation of transport,regulation of exocytosis,positive regulation of exocytosis,positive regulation of regulated secretory pathway,
81,positive regulation of signaling (GO:0023056),GO:0023056,biological regulation,regulation of biological process,positive regulation of biological process,,,,,
82,response to increased oxygen levels (GO:0036296),GO:0036296,response to stimulus,response to abiotic stimulus,response to oxygen levels,,,,,
83,dopamine receptor signaling pathway (GO:0007212),GO:0007212,biological regulation,regulation of biological process,regulation of cellular process,,,,,
84,regulation of T cell activation (GO:0050863),GO:0050863,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell activation,regulation of lymphocyte activation,,,
85,regulation of NIK/NF-kappaB signaling (GO:1901222),GO:1901222,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,,,
86,regulation of DNA recombination (GO:0000018),GO:0000018,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,,,
87,calcineurin-mediated signaling (GO:0097720),GO:0097720,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,calcium-mediated signaling,,,
88,positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862),GO:0010862,biological regulation,regulation of biological process,regulation of signaling,positive regulation of metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of protein phosphorylation,regulation of pathway-restricted SMAD protein phosphorylation
89,positive regulation of leukocyte apoptotic process (GO:2000108),GO:2000108,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell death,regulation of apoptotic process,regulation of leukocyte apoptotic process,
90,RNA interference (GO:0016246),GO:0016246,biological regulation,regulation of biological process,negative regulation of biological process,regulation of macromolecule metabolic process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,post-transcriptional gene silencing,
91,positive regulation of neuron projection development (GO:0010976),GO:0010976,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
92,actin polymerization or depolymerization (GO:0008154),GO:0008154,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,actin filament organization,,,
93,regulation of nitric oxide biosynthetic process (GO:0045428),GO:0045428,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nitric oxide metabolic process,,,
94,membrane depolarization during action potential (GO:0086010),GO:0086010,biological regulation,regulation of biological quality,regulation of membrane potential,membrane depolarization,,,,
95,negative regulation of mitotic cell cycle (GO:0045930),GO:0045930,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell cycle,regulation of mitotic cell cycle,,,
96,negative regulation of transcription regulatory region DNA binding (GO:2000678),GO:2000678,biological regulation,regulation of molecular function,negative regulation of molecular function,regulation of DNA binding,regulation of transcription regulatory region DNA binding,,,
97,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972),GO:0000972,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,chromosome organization,,,
98,regulation of microtubule polymerization or depolymerization (GO:0031110),GO:0031110,biological regulation,regulation of biological process,regulation of cellular process,regulation of microtubule-based process,regulation of microtubule cytoskeleton organization,regulation of cytoskeleton organization,,
99,neuron projection regeneration (GO:0031102),GO:0031102,developmental process,anatomical structure development,cellular response to stress,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,
100,mitochondrial fusion (GO:0008053),GO:0008053,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle fusion,,,
101,regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266),GO:0090266,biological regulation,regulation of biological process,regulation of signaling,regulation of signal transduction,regulation of intracellular signal transduction,regulation of mitotic cell cycle phase transition,regulation of metaphase/anaphase transition of cell cycle,regulation of mitotic sister chromatid segregation
102,mismatch repair (GO:0006298),GO:0006298,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
103,positive regulation of cytokine production involved in immune response (GO:0002720),GO:0002720,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,positive regulation of macromolecule metabolic process,positive regulation of production of molecular mediator of immune response,,
104,cell projection assembly (GO:0030031),GO:0030031,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,,,,
105,positive regulation of cation transmembrane transport (GO:1904064),GO:1904064,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,positive regulation of transmembrane transport,positive regulation of monoatomic ion transmembrane transport,,
106,negative regulation of vascular smooth muscle cell proliferation (GO:1904706),GO:1904706,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell population proliferation,regulation of smooth muscle cell proliferation,regulation of vascular associated smooth muscle cell proliferation,,
107,regulation of cardiac muscle cell contraction (GO:0086004),GO:0086004,biological regulation,regulation of biological process,regulation of cellular process,regulation of system process,regulation of blood circulation,regulation of muscle contraction,regulation of striated muscle contraction,
108,phosphatidylethanolamine metabolic process (GO:0046337),GO:0046337,cellular process,cellular metabolic process,phosphorus metabolic process,glycerolipid metabolic process,glycerophospholipid metabolic process,,,
109,I-kappaB kinase/NF-kappaB signaling (GO:0007249),GO:0007249,biological regulation,regulation of biological process,intracellular signal transduction,,,,,
110,regulation of cyclin-dependent protein kinase activity (GO:1904029),GO:1904029,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,
111,DNA biosynthetic process (GO:0071897),GO:0071897,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,DNA metabolic process,,,
112,skeletal muscle organ development (GO:0060538),GO:0060538,developmental process,anatomical structure development,animal organ development,muscle organ development,,,,
113,negative regulation of plasma membrane bounded cell projection assembly (GO:0120033),GO:0120033,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,,
114,regulation of interferon-alpha secretion (GO:1902739),GO:1902739,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,,,
115,stress fiber assembly (GO:0043149),GO:0043149,cellular process,actin filament-based process,cellular component organization,supramolecular fiber organization,actin filament bundle assembly,actin filament bundle organization,,
116,spermidine metabolic process (GO:0008216),GO:0008216,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,amine metabolic process,biogenic amine metabolic process,polyamine metabolic process,,
117,negative regulation of cation channel activity (GO:2001258),GO:2001258,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of monoatomic ion transmembrane transporter activity,negative regulation of monoatomic ion transmembrane transport,negative regulation of cation transmembrane transport,
118,protein targeting to ER (GO:0045047),GO:0045047,cellular process,cellular localization,cellular macromolecule localization,establishment of protein localization to organelle,protein targeting,protein localization to endoplasmic reticulum,,
119,cellular response to catecholamine stimulus (GO:0071870),GO:0071870,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organic cyclic compound,response to monoamine,,,
120,regulation of G1/S transition of mitotic cell cycle (GO:2000045),GO:2000045,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of mitotic cell cycle,regulation of mitotic cell cycle phase transition,regulation of cell cycle G1/S phase transition,
121,negative regulation of cell cycle arrest (GO:0071157),GO:0071157,biological regulation,regulation of biological process,regulation of cellular process,,,,,
122,nuclear transport (GO:0051169),GO:0051169,cellular process,establishment of localization,transport,,,,,
123,regulation of vasoconstriction (GO:0019229),GO:0019229,biological regulation,regulation of biological process,regulation of anatomical structure size,regulation of tube size,blood vessel diameter maintenance,,,
124,phospholipid catabolic process (GO:0009395),GO:0009395,cellular process,catabolic process,organic substance catabolic process,phospholipid metabolic process,,,,
125,neural crest cell migration (GO:0001755),GO:0001755,cellular process,cell motility,cell migration,ameboidal-type cell migration,mesenchymal cell migration,,,
126,regulation of stress-activated protein kinase signaling cascade (GO:0070302),GO:0070302,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of intracellular signal transduction,,,
127,macromolecule catabolic process (GO:0009057),GO:0009057,metabolic process,catabolic process,organic substance catabolic process,,,,,
128,viral RNA genome replication (GO:0039694),GO:0039694,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,,,
129,sister chromatid segregation (GO:0000819),GO:0000819,cellular process,cell cycle process,chromosome segregation,organelle organization,chromosome organization,,,
130,peripheral nervous system development (GO:0007422),GO:0007422,developmental process,anatomical structure development,system development,,,,,
131,positive regulation of protein sumoylation (GO:0033235),GO:0033235,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,positive regulation of nitrogen compound metabolic process,regulation of protein modification process,positive regulation of protein modification process,positive regulation of protein modification by small protein conjugation or removal
132,tRNA aminoacylation (GO:0043039),GO:0043039,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,
133,synaptic vesicle recycling (GO:0036465),GO:0036465,localization,establishment of localization,transport,,,,,
134,cell differentiation in hindbrain (GO:0021533),GO:0021533,developmental process,cellular developmental process,cell differentiation,,,,,
135,regulation of protein tyrosine kinase activity (GO:0061097),GO:0061097,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,regulation of peptidyl-tyrosine phosphorylation
136,regulation of cell size (GO:0008361),GO:0008361,biological regulation,cellular component organization or biogenesis,regulation of anatomical structure size,regulation of cellular component size,,,,
137,positive regulation of translational initiation (GO:0045948),GO:0045948,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,regulation of translational initiation,
138,muscle cell differentiation (GO:0042692),GO:0042692,developmental process,cellular developmental process,cell differentiation,,,,,
139,atrial cardiac muscle cell action potential (GO:0086014),GO:0086014,biological regulation,regulation of biological quality,regulation of membrane potential,action potential,cardiac muscle cell action potential,cardiac muscle cell action potential involved in contraction,,
140,tRNA aminoacylation for protein translation (GO:0006418),GO:0006418,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,
141,regulation of dendritic spine development (GO:0060998),GO:0060998,biological regulation,regulation of biological process,regulation of developmental process,,,,,
142,actin filament polymerization (GO:0030041),GO:0030041,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,protein-containing complex assembly,protein polymerization,,
143,regulation of adenylate cyclase activity (GO:0045761),GO:0045761,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of lyase activity,,,,
144,cellular response to glucagon stimulus (GO:0071377),GO:0071377,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to peptide hormone,cellular response to peptide hormone stimulus,,,
145,regulation of regulated secretory pathway (GO:1903305),GO:1903305,biological regulation,regulation of biological process,regulation of localization,regulation of secretion by cell,regulation of secretion,,,
146,regulation of calcineurin-NFAT signaling cascade (GO:0070884),GO:0070884,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,regulation of calcium-mediated signaling,regulation of calcineurin-mediated signaling,
147,collagen metabolic process (GO:0032963),GO:0032963,metabolic process,,,,,,,
148,"regulation of synaptic transmission, GABAergic (GO:0032228)",GO:0032228,biological regulation,regulation of biological process,regulation of signaling,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
149,positive regulation of cilium assembly (GO:0045724),GO:0045724,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,positive regulation of cell projection organization,,
150,regulation of lamellipodium assembly (GO:0010591),GO:0010591,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of lamellipodium organization,
151,negative regulation of peptidyl-threonine phosphorylation (GO:0010801),GO:0010801,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of protein phosphorylation,negative regulation of phosphorylation
152,positive regulation of BMP signaling pathway (GO:0030513),GO:0030513,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,positive regulation of cell communication,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,
153,"nucleotide-excision repair, DNA gap filling (GO:0006297)",GO:0006297,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
154,negative regulation of catabolic process (GO:0009895),GO:0009895,biological regulation,regulation of biological process,negative regulation of biological process,regulation of catabolic process,,,,
155,peptide biosynthetic process (GO:0043043),GO:0043043,cellular process,biosynthetic process,organonitrogen compound metabolic process,cellular nitrogen compound biosynthetic process,,,,
156,DNA double-strand break processing (GO:0000729),GO:0000729,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
157,mitotic recombination (GO:0006312),GO:0006312,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,DNA recombination,,
158,long-term memory (GO:0007616),GO:0007616,multicellular organismal process,behavior,nervous system process,cognition,,,,
